"","YEAR","Stock","Lat_mean","Lon_mean","Lat_rotated","Lon_rotated","along_mean","cross_mean","Distance","Max_Lat","Min_Lat","mDepth","mSST","mBT","STRAT_BIOMASS"
"1010",1990,"103",38.470289,-73.444837,38.635552,-73.769677,381.83154,-42.807714,418.107154174563,40.683333,35.9,72.5813096570356,7.72465513309205,8.55055810899414,0.0344206601631094
"1011",1991,"103",38.372615,-73.44843,38.648904,-73.785112,381.48554,-44.735811,419.177142185085,40.683333,35.883333,68.7996472001731,9.06088660717215,10.6705734132122,0.0451148689502383
"1012",1992,"103",38.502103,-73.365153,38.660499,-73.650092,392.70369,-36.351987,423.680367576388,40.733333,35.75,76.9815137375466,7.09911725129809,9.04649222008389,0.0548548966964235
"1013",1993,"103",38.55342,-72.890659,38.898006,-73.344235,429.72646,-34.958086,457.012018929924,40.833333,35.566667,75.0439409170952,6.24908169844493,7.50006969095147,0.0596363865308468
"1014",1994,"103",38.660393,-72.715204,39.04046,-73.145281,450.84005,-32.81984,477.78071411521,40.95,35.85,85.6074068089792,6.50898245364458,8.88203106969721,0.0607939606871634
"1015",1995,"103",38.819025,-72.643459,39.221163,-73.110881,466.55625,-43.483661,497.610949815212,40.733333,35.8,74.6164676689887,7.73050307007758,9.34194615130357,0.0557575422076953
"1016",1996,"103",37.981394,-73.584928,38.237897,-73.981911,340.49696,-28.248725,370.665388068972,40.533333,35.766667,80.460995673989,7.51513442647642,9.22948710666774,0.0619665864661408
"1017",1997,"103",38.78494,-72.765826,39.107415,-73.253553,450.37724,-44.282158,481.549223706803,41.683333,35.95,80.1390057255952,7.10859125154823,9.69885627458385,0.070306389611357
"1018",1998,"103",38.826981,-72.780911,39.167472,-73.243825,453.1861,-47.387203,488.120657530066,40.916667,35.583333,77.1746418296239,6.39479467878263,7.48295863989331,0.0848237530575328
"1019",1999,"103",38.655481,-73.040264,38.93902,-73.389321,428.04803,-39.732231,460.044946465381,42.151667,35.521833,76.9860140849048,8.30274153805586,10.6900771042633,0.0904239309833891
"1020",2000,"103",39.217455,-72.542405,39.447499,-72.818104,498.86316,-46.847893,530.1679650795,40.8565,36.1065,83.2108841221188,8.25489926405334,9.49431039009988,0.132413508774637
"1021",2001,"103",38.894751,-72.540151,39.242796,-72.912285,479.13114,-34.320642,506.05695763709,40.777648,35.718105,90.8200623143014,6.97596124622349,9.56689890891435,0.156200319603747
"1022",2002,"103",39.570245,-71.706231,39.954702,-72.070267,583.81282,-43.193698,607.807580639975,41.157833,35.606667,87.6485829519934,8.40736359993768,10.4189610150698,0.155874553016823
"1023",2003,"103",39.265453,-72.194482,39.552716,-72.476319,529.97265,-36.700201,552.560084585394,42.022358,35.901988,97.0687557270786,6.59568951466266,7.21587439799133,0.158488525957937
"1024",2004,"103",38.571251,-73.115806,38.861737,-73.479482,417.18533,-39.584934,449.441104249501,41.078333,36.277333,78.497347653414,6.08724711833023,6.76192789293722,0.144379503440526
"1025",2005,"103",38.879815,-72.608137,39.197169,-72.976499,473.70549,-34.046523,499.286481321328,40.975773,35.538468,91.4735759399284,5.68569129657331,9.19479423291282,0.108118523650991
"1026",2006,"103",38.871508,-72.619492,39.240487,-73.018048,472.81243,-40.733379,502.452359542237,40.947417,36.099667,91.7423761058215,7.3738073554646,10.121686815877,0.118573838009615
"1027",2007,"103",39.174094,-72.324533,39.454854,-72.661449,509.4016,-38.268783,536.143726211346,41.151348,35.739148,93.5458105145118,7.20347531066852,8.88393215754938,0.14060511598142
"1028",2008,"103",39.285501,-72.503476,39.54575,-72.736887,508.77925,-50.285992,542.90889747599,41.22745,35.610483,76.8437401811882,6.0637004614037,9.70969692307975,0.120194635070427
"1029",2009,"103",38.839808,-72.759727,39.172251,-73.173868,458.4722,-43.562906,490.642266130415,42.77404,35.642288,82.4802520136808,6.77367006458047,8.66934850618631,0.111474244330329
"1030",2010,"103",38.853186,-72.667441,39.137345,-72.990632,467.96147,-30.320303,492.666383768244,41.029898,35.58899,103.256636630154,7.09557174141466,8.76484901783034,0.131080546221819
"1031",2011,"103",38.906677,-72.701276,39.16592,-73.018825,468.75724,-34.195593,494.714684477904,41.112808,35.809408,103.057427902813,6.61650437366033,9.00209358173469,0.12960297913547
"1032",2012,"103",39.325797,-72.377301,39.609003,-72.638428,519.85128,-50.599686,552.651089262347,41.62509,35.635902,90.954194098626,9.68930194519581,10.7003435890529,0.145986822199637
"1033",2013,"103",39.142214,-72.344213,39.452729,-72.62835,510.34662,-36.89954,537.070024413491,41.022908,35.560907,106.284577849241,7.64702600088047,10.0018653243438,0.133655348673802
"1034",2014,"103",39.753363,-71.650928,40.049001,-71.868039,599.47073,-41.422786,624.920869113096,41.289753,37.857792,102.421032299437,NA,NA,0.092009445428766
"1035",1968,"104",39.762123,-70.912464,40.102385,-71.082102,655.98,-23.842316,663.567245943316,40.55,36.7,136.917139236552,4.64556996486964,9.00653278079087,0.0374896239951603
"1036",1969,"104",39.502773,-71.151774,39.966473,-71.531333,619.18827,-20.342203,630.698613958316,41.166667,36.083333,131.316517093405,5.89166071030989,9.71426276416026,0.0426954818060568
"1037",1970,"104",39.542892,-71.279725,39.996,-71.613629,613.71551,-26.039677,630.050943637901,41.066667,35.933333,117.054486183271,6.62687472330932,8.90469492549577,0.0436831513656649
"1038",1971,"104",39.813861,-71.490181,40.055217,-71.71818,609.31188,-36.838397,631.496860272056,40.666667,36.3,105.120814101295,5.02354710367979,9.97592042545608,0.0318481842815679
"1039",1972,"104",39.788035,-71.183196,40.164928,-71.366073,635.35135,-35.832506,656.836694335744,42.316667,36.283333,122.250281003876,7.08092159574157,9.91259907370788,0.072640952120571
"1040",1973,"104",39.788065,-71.443216,40.096251,-71.665875,613.80266,-37.331536,637.628356573885,42.383333,36.216667,116.131913955861,6.12936916237258,10.2591061134976,0.0574834942486952
"1041",1974,"104",40.115001,-70.212707,40.240206,-70.147615,731.26611,-33.313465,722.069969931694,42.05,37.566667,128.87414969919,7.1652802913979,9.82218733340203,0.0761413770493068
"1042",1975,"104",40.00073,-70.818506,40.236554,-70.837792,675.33627,-36.310673,687.416750926709,42.25,37.216667,131.455513608847,5.86262120768689,9.32183336205756,0.0860632108142262
"1043",1976,"104",39.971795,-70.884029,40.27817,-70.977184,665.18599,-41.710833,684.826669709346,43.15,36.066667,128.152680347837,7.21251407131316,9.47423434150476,0.102810900235996
"1044",1977,"104",39.508035,-71.682413,39.910005,-72.030824,583.93562,-37.358029,604.860863586915,42.55,35.983333,105.5401053945,7.58590476477255,7.61051662631734,0.102452156950707
"1045",1978,"104",39.375764,-71.961395,39.639997,-72.22859,555.27945,-27.704412,570.471378683243,42.533333,36.333333,122.353239201155,5.42094900145698,7.17101011967263,0.125537745880528
"1046",1979,"104",40.108592,-70.78237,40.403036,-70.785972,680.21934,-54.326947,705.280802265287,44.35,36.533333,112.03244115495,6.43966486650177,7.9602279467652,0.0638867083353117
"1047",1980,"104",39.831019,-71.159241,40.227346,-71.421731,632.59876,-43.707082,660.466035222537,43.216667,35.633333,109.805135954397,7.55995712984392,8.70510199436052,0.135114976882769
"1048",1981,"104",39.708591,-71.219596,40.13208,-71.426462,629.55551,-34.238254,651.094255726449,44.316667,35.733333,116.711565166368,6.90469384803551,8.64355187651373,0.150954239783124
"1049",1982,"104",39.665199,-71.199892,40.097519,-71.484669,626.298,-31.657505,645.290524505381,42.216667,35.85,131.417006258846,6.04069823945211,8.97681348754748,0.145107044577008
"1050",1983,"104",39.73352,-71.08171,40.154312,-71.327855,638.21637,-33.575301,657.47543705403,42.833333,36.333333,130.774202531201,7.76039724721617,9.55951122700998,0.115348611135569
