"","YEAR","Stock","Lat_mean","Lon_mean","Lat_rotated","Lon_rotated","along_mean","cross_mean","Distance","Max_Lat","Min_Lat","mDepth","mSST","mBT","STRAT_BIOMASS"
"23",1990,"15",42.040849,-68.264095,41.838701,-67.904817,988.45567,-160.62498,979.131544492277,44.35,35.833333,125.713753989014,12.6840999792,7.35868502066069,0.384038175177028
"24",1991,"15",42.237017,-68.962801,42.150522,-68.322046,938.07435,-205.77041,983.499776600054,44.416667,37.5,129.077686346438,13.026937791986,9.31072807144619,0.333574058695702
"25",1992,"15",41.995051,-68.987812,41.885211,-68.425178,923.62294,-180.31252,955.158176039835,44.1,38.266667,111.832324747646,12.9175585076059,10.1795937821649,0.45646921529301
"26",1993,"15",42.385401,-69.070307,42.326167,-68.460123,930.54915,-228.72485,991.955708813015,44.35,37.116667,138.455693524624,12.675203795542,8.90024736854957,0.328927371076271
"27",1994,"15",42.008579,-68.943158,41.933375,-68.374781,928.61121,-183.65649,961.947012982812,43.85,36.966667,122.19327945812,13.4466254394631,10.8688673236415,0.451044810303096
"28",1995,"15",42.447916,-68.969123,42.390826,-68.420716,937.07205,-234.58745,999.644154227544,44.333333,38.483333,133.705523616258,13.4973863558638,9.79496934872146,0.537970871025776
"29",1996,"15",41.618994,-69.699015,41.564992,-69.53604,819.54626,-176.30098,871.095041919319,43.833333,36.2,101.157073577706,13.044963190935,10.3158232530584,0.577870151198254
"30",1997,"15",41.950906,-69.16655,41.843383,-68.774723,900.30928,-184.46193,933.528817321597,44.266667,37.2,104.75007974426,13.9361257652582,11.088523110614,0.810665502131456
"31",1998,"15",41.801917,-69.744967,41.695542,-69.463956,832.81404,-188.83471,886.423058361371,44.333333,37.166667,89.965468595722,13.2081713775199,9.55755202672894,0.719839916853018
"32",1999,"15",41.879045,-69.749022,41.792373,-69.52805,829.19735,-199.26701,892.272461295755,44.312667,36.39,104.611033429621,13.8041006589466,10.5663648031931,0.879180366889119
"33",2000,"15",42.1741,-69.701363,42.062473,-69.446121,851.23967,-226.84295,920.984685741519,44.254667,36.278333,106.386309866606,14.3882832739674,10.3851662864768,0.63918021590269
"34",2001,"15",41.919991,-69.621687,41.859094,-69.353315,852.39425,-201.24177,906.590767711691,44.352715,37.092217,107.693869398267,15.0209234731504,10.2017752165291,0.749784844056324
"35",2002,"15",41.907512,-69.427283,41.812525,-69.106361,873.01809,-190.44638,914.264505273344,44.2585,37.356333,108.585399263918,15.5604847156564,11.2019035733371,0.957158817424194
"36",2003,"15",41.726739,-70.038915,41.688583,-69.653472,806.12378,-191.15376,876.881228424887,44.179333,36.198333,93.5964178050179,15.3330684897314,10.6089429664949,0.608065825063576
"37",2004,"15",41.399889,-69.93938,41.319212,-69.650615,793.06522,-152.34349,843.272759393,44.238062,36.085077,75.1725461839798,14.9006542956497,11.1143985225066,0.812004867709807
"38",2005,"15",41.622637,-69.715121,41.542011,-69.473802,827.10046,-172.3536,872.002768898646,44.181867,36.18809,81.382634673165,14.9025159630622,11.0569424220085,0.680365655727107
"39",2006,"15",41.815791,-69.390806,41.725752,-69.283135,854.25291,-185.2575,897.842617367599,44.180137,35.997423,103.068733790642,15.2229085701314,10.7939016074616,1.27207542822349
"40",2007,"15",41.869663,-69.196206,41.777794,-69.093762,874.45003,-186.75346,911.771156940851,44.284255,37.763753,104.422723487371,14.5892986597017,9.89081217445355,0.837609049282592
"41",2008,"15",41.663642,-68.802348,41.547273,-68.672373,900.42576,-150.61259,913.063627692851,44.346035,37.520473,90.5625230429374,13.4274294681992,10.095234081186,0.87859909316399
"42",2009,"15",41.294563,-69.349744,41.208177,-69.226736,842.54879,-130.54793,854.671590846699,44.223702,36.397245,100.735918573807,13.8519283713434,11.2338178454065,1.03634496697367
"43",2010,"15",41.382687,-69.289309,41.260585,-69.24386,844.21716,-135.51467,858.376892981115,44.256413,36.904952,97.5897458378708,13.6979885837088,11.8033914541336,0.951346677543994
"44",2011,"15",41.466509,-69.532851,41.389747,-69.329563,838.06434,-152.91834,865.43960328596,43.855485,36.710482,99.1057750036384,15.6950210457404,11.6704691469057,0.991618326495775
"45",2012,"15",41.595697,-68.921826,41.487086,-68.685878,898.41023,-143.01792,907.183290181965,43.797773,36.271092,105.454241975983,16.6342576048617,11.6817641560041,1.10296454561201
"46",2013,"15",41.625239,-68.70301,41.498982,-68.479229,911.3448,-140.73484,919.280386431256,44.152043,36.149873,105.138761659149,13.7426659561017,11.3292013993073,1.10879733219483
"47",1968,"23",41.126566,-68.626773,41.082036,-68.413283,906.38177,-94.648188,888.277413553937,42.1,38.816667,63.9315360352858,13.4763815483053,11.7811300879031,0.169488202269234
"48",1969,"23",41.458656,-67.962162,41.350582,-67.705955,981.07001,-104.03629,950.778741928242,43.283333,40.433333,70.1322763839528,12.6133310083467,11.5617422955312,0.133775422473211
"49",1970,"23",41.347564,-68.28489,41.23082,-67.996294,944.27553,-99.471914,924.292816940536,42.2,40.25,61.1751335374468,13.4342512304303,11.6309770966808,0.186710489841635
"50",1971,"23",41.313907,-68.246865,41.218918,-67.966153,946.06968,-97.832022,925.093585075519,42.183333,40.266667,63.7631339807155,14.7896472776074,12.8128598257776,0.0963466528153541
"51",1972,"23",41.256893,-68.616539,41.151901,-68.43614,907.43794,-101.97152,892.708297240321,42.633333,37.433333,67.7831665093271,13.586559459187,12.1549509526774,0.225128771233803
"52",1973,"23",41.469825,-68.141062,41.36196,-67.845998,963.17338,-110.23859,943.517023321053,43.75,40.533333,70.4435708170966,13.9607490070711,12.6027898908997,0.21420014401056
"53",1974,"23",41.25481,-68.006839,41.15284,-67.774765,962.78893,-85.591007,931.137993885681,42.1,40.583333,60.4147685800011,14.1843284304895,13.3243966794043,0.157494497210937
"54",1975,"23",41.27175,-67.887505,41.151434,-67.65346,975.46002,-82.171709,938.280414349406,42.083333,40.316667,63.0472176227905,13.9172453321131,12.2305061811843,0.110568679097347
"55",1976,"23",41.44329,-67.89901,41.355761,-67.693881,984.44302,-104.89798,951.897325113542,42.133333,40.933333,48.5740352375907,12.9357333467509,12.9747126042815,0.107188591406486
"56",1977,"23",41.468638,-67.846995,41.366476,-67.670453,989.04796,-103.93806,954.120716895075,42.25,40.533333,63.389050190541,12.474601098263,12.2251816435837,0.190170935028079
"57",1978,"23",41.427386,-67.883785,41.316457,-67.690775,981.8863,-99.35257,948.973797160595,43.683333,40.6,61.2045832919272,13.2966216969876,11.9722324920771,0.210363551751649
"58",1979,"23",41.423201,-68.140656,41.339309,-67.859227,959.93519,-107.09854,940.936448580055,42.166667,39.216667,58.9523203161227,13.3386313192522,12.5989483005301,0.198249160879816
"59",1980,"23",41.45162,-67.659009,41.32391,-67.507642,1008.0707,-92.009332,960.419100522228,42.166667,39.966667,66.238058968511,13.8432835172536,12.9104175115016,0.225458004216545
"60",1981,"23",41.41231,-68.273491,41.324219,-67.997678,945.21915,-109.22527,931.724626523582,42.35,39.15,61.3072052313367,12.7163669679507,11.8347815156287,0.233066484916563
"61",1982,"23",41.377578,-68.366653,41.266244,-68.089814,935.8802,-106.64097,921.745922007208,42.283333,40.216667,56.5509824526331,13.2217741061169,12.4452083550698,0.234817410092707
"62",1983,"23",41.386482,-68.122541,41.340745,-67.927751,951.69087,-109.61178,937.084924660614,42.166667,40.6,58.7910437769758,14.3227972592047,12.4614373141887,0.236761189790659
"63",1984,"23",41.492096,-67.895663,41.355761,-67.693881,982.65092,-103.79124,951.897325113542,42.766667,40.65,73.8936782605881,14.3691980019224,12.2349447779349,0.28625571502386
"64",1985,"23",41.44288,-68.353227,41.377483,-68.094104,939.30058,-117.74637,930.540139508937,42.533333,40.166667,67.158620088075,15.1126707438676,13.2427873102306,0.236107310304922
"65",1986,"23",41.671032,-68.343523,41.598206,-68.031348,949.83041,-140.0905,952.189173826613,43.916667,40.233333,63.2264243774742,13.4816618046613,13.036087826552,0.266034189343773
"66",1987,"23",41.497588,-67.902363,41.355761,-67.693881,983.79389,-103.59409,951.897325113542,42.9,40.7,62.8886866268171,13.3796748935125,11.4675713310068,0.28239662553534
"67",1988,"23",41.277428,-68.303026,41.201613,-68.129379,930.06025,-100.95747,914.247577278316,42.366667,40.033333,62.9273684685524,13.543086079653,11.2938781590694,0.221170768260314
"68",1989,"23",41.43474,-67.986437,41.33028,-67.760019,972.36434,-104.3078,946.000436295975,42.583333,40.383333,65.8726677677039,13.8875486619993,12.096122464219,0.220192743499495
